"Customweb_BarclaycardCw::* Required Fields","* Erforderliche Felder"
"Customweb_BarclaycardCw::-- No Status Change --","-- Keine Statusänderung --"
"Customweb_BarclaycardCw::3D Secure","3D Secure"
"Customweb_BarclaycardCw::3D Secure Authentication","3D Secure Authentifikation"
"Customweb_BarclaycardCw::3D Secure failed","3D Secure ist fehlgeschlagen."
"Customweb_BarclaycardCw::3D Secure sucess","3D Secure erfolgreich"
"Customweb_BarclaycardCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr.</span>"
"Customweb_BarclaycardCw::A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"Customweb_BarclaycardCw::A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_BarclaycardCw::A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"Customweb_BarclaycardCw::A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"Customweb_BarclaycardCw::A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"Customweb_BarclaycardCw::A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_BarclaycardCw::A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"Customweb_BarclaycardCw::A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"Customweb_BarclaycardCw::A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"Customweb_BarclaycardCw::A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_BarclaycardCw::A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"Customweb_BarclaycardCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Manche Zahlungsmethoden sind für gewisse Länder nicht erlaubt. Hier können Sie definieren zu welchem Zeitpunkt der Verfügbarkeits-Check durchgeführt werden soll. Wir empfehlen 'Während der Autorisierung'."
"Customweb_BarclaycardCw::A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"Customweb_BarclaycardCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"Customweb_BarclaycardCw::A typical pattern of a fraud transaction is a series of refused transaction before one of them is accepted. This setting defines the threshold after any following transaction is marked as uncertain. E.g. a threshold of three will mark any successful transaction after three refused transaction as uncertain.","Ein typisches Muster von Betrugstransaktionen ist eine Serie von abgelehnten Transaktionen bevor eine von ihnen akzeptiert wird. Diese Einstellung legt den Schwellenwert fest, nach dem jede weiter Transaktion als unsicher markiert wird. Zum Beispiel wird ein Schwellenwert von drei nach der dritten erfolglosen Transaktion jede weitere als unsicher markieren."
"Customweb_BarclaycardCw::API Password","API Passwort"
"Customweb_BarclaycardCw::API Username","API UserID"
"Customweb_BarclaycardCw::About","Über"
"Customweb_BarclaycardCw::Acceptance","Akzeptanz"
"Customweb_BarclaycardCw::Account Holder Name","Kontoinhaber"
"Customweb_BarclaycardCw::Account owner name.","Kontoinhaber"
