"Customweb_BarclaycardCw::* Required Fields","* Required Fields"
"Customweb_BarclaycardCw::-- No Status Change --","-- No Status Change --"
"Customweb_BarclaycardCw::3D Secure","3D Secure con éxito"
"Customweb_BarclaycardCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_BarclaycardCw::3D Secure failed","3D Secure fallado"
"Customweb_BarclaycardCw::3D Secure sucess","3D Secure con éxito"
"Customweb_BarclaycardCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">El formato esperado es '!format' donde el 'MM' significa el número del mes y 'YY' el número de años.</span>"
"Customweb_BarclaycardCw::A authorized transaction cannot be authorized again.","Una transacción autorisada no puede ser autorisada otra vez"
"Customweb_BarclaycardCw::A authorized transaction cannot be marked as failed.","Una transacción autorizada no puede ser marcado como fallada"
"Customweb_BarclaycardCw::A cancelled transaction cannot be authorized.","Una transacción cancelada no puede ser autorizada"
"Customweb_BarclaycardCw::A cancelled transaction cannot be cancelled again.","Una transacción cancelada no puede ser cancelada otra vez"
"Customweb_BarclaycardCw::A cancelled transaction cannot be captured.","Una transacción cancelada no puede ser contabilizada"
"Customweb_BarclaycardCw::A cancelled transaction cannot be marked as failed.","Una transacción cancelada no puede ser marcado como fallada"
"Customweb_BarclaycardCw::A cancelled transaction cannot be refunded.","Una transacción cancelada no puede ser reembolsada"
"Customweb_BarclaycardCw::A captured transaction cannot be authorized.","Una transacción contabilizada no puede ser autorizada"
"Customweb_BarclaycardCw::A captured transaction cannot be cancelled.","Una transacción contabilizada no puede ser cancelada"
"Customweb_BarclaycardCw::A captured transaction cannot be marked as failed.","Una transacción contabilizada no puede ser marcado como fallada"
"Customweb_BarclaycardCw::A failed authorization cannot be authorized.","Una autorización fallada no puede ser autorizada"
"Customweb_BarclaycardCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Algunos métodos de pago no están permitidos para ciertos países. Usted puede decidir en qué momento la verificación de disponibilidad se va a realizar. Recomendamos 'Durante la autorización'."
"Customweb_BarclaycardCw::A refund was added over !amount.","Un reembolso se añadió durante  !amount."
"Customweb_BarclaycardCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transacción puede ser incierto, cuando no se garantiza el pago. Por ejemplo en el caso de la tarjeta de crédito no participa en el procedimiento de 3D​​."
"Customweb_BarclaycardCw::A typical pattern of a fraud transaction is a series of refused transaction before one of them is accepted. This setting defines the threshold after any following transaction is marked as uncertain. E.g. a threshold of three will mark any successful transaction after three refused transaction as uncertain.","Un patrón típico de una operación de fraude es una serie de transacciones negado antes de que uno de ellos es aceptado. Este ajuste define el umbral después de cualquier transacción siguiente se marca como incierto. Por ejemplo un umbral de tres marcará cualquier transacción exitosa después de las tres se negaron operación como incierto."
"Customweb_BarclaycardCw::API Password","Contraseña API"
"Customweb_BarclaycardCw::API Username","Nombre de usuario API"
"Customweb_BarclaycardCw::About","About"
"Customweb_BarclaycardCw::Acceptance","Aceptación"
"Customweb_BarclaycardCw::Account Holder Name","Titular de la cuenta Nombre"
"Customweb_BarclaycardCw::Account owner name.","Nombre del titular"
"Customweb_BarclaycardCw::Action","Acción"
"Customweb_BarclaycardCw::Actions","Actions"
"Customweb_BarclaycardCw::Activate","Activate"
"Customweb_BarclaycardCw::Active","Activo"
"Customweb_BarclaycardCw::Add new","Add new"
"Customweb_BarclaycardCw::Additional Information","Additional Information"
"Customweb_BarclaycardCw::Adjust Qty","Ajuste de cantidad"
"Customweb_BarclaycardCw::Adjustment Discount","Adjustment Discount"
"Customweb_BarclaycardCw::Adjustment Fee","Adjustment Fee"
"Customweb_BarclaycardCw::After payment selection","Después de elegir la forma de pago"
"Customweb_BarclaycardCw::AfterPay","AfterPay"
"Customweb_BarclaycardCw::Ajax authorization not supported.","Autorización Ajax no es compatibl"
"Customweb_BarclaycardCw::Alias","Alias"
"Customweb_BarclaycardCw::Alias For Display","Alias ​​para la exhibición"
"Customweb_BarclaycardCw::Alias Gateway","Alias Gateway"
"Customweb_BarclaycardCw::Alias Manager","Alias Manager"
"Customweb_BarclaycardCw::Alias Token","Alias Token"
"Customweb_BarclaycardCw::Alias manager","Alias manager"
"Customweb_BarclaycardCw::All Customers","All Customers"
"Customweb_BarclaycardCw::All country codes must match.","Todos los códigos de país deben coincidir."
"Customweb_BarclaycardCw::Allowed Currencies","Allowed Currencies"
"Customweb_BarclaycardCw::Allowed currencies for this payment method","Moneda permitida para esta forma de pago"
"Customweb_BarclaycardCw::Already registered?","Already registered?"
"Customweb_BarclaycardCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_BarclaycardCw::American Express","American Express"
"Customweb_BarclaycardCw::Amount","Montante"
"Customweb_BarclaycardCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_BarclaycardCw::An expiry month must be selected.","Un mes de vencimiento debe ser seleccionado."
"Customweb_BarclaycardCw::An expiry year must be selected.","Un año de expiración debe ser seleccionado."
"Customweb_BarclaycardCw::Are you a German merchant?","¿Es usted un comerciante alemán?"
"Customweb_BarclaycardCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_BarclaycardCw::Austria (AT)","Austria (AT)"
"Customweb_BarclaycardCw::Author","Author"
"Customweb_BarclaycardCw::Authorization Amount","Importe de autorisación"
"Customweb_BarclaycardCw::Authorization Failed","Autorisación fallada"
"Customweb_BarclaycardCw::Authorization Method","Método de autorización"
"Customweb_BarclaycardCw::Authorization is uncertain.","Autorización está incierta"
"Customweb_BarclaycardCw::Authorization refused","Authorization refused"
"Customweb_BarclaycardCw::Authorized Status","Estado autorizado"
"Customweb_BarclaycardCw::Await Notification","Await Notification"
"Customweb_BarclaycardCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_BarclaycardCw::BIC","BIC"
"Customweb_BarclaycardCw::Background Color","Background Color"
"Customweb_BarclaycardCw::Bad signature format.","Bad signature format."
"Customweb_BarclaycardCw::Bank Location","Banco Ubicación"
"Customweb_BarclaycardCw::Bank Name","Nombre del banco"
"Customweb_BarclaycardCw::Bank account number","Número de cuenta bancaria"
"Customweb_BarclaycardCw::Bank code number","Código bancario"
"Customweb_BarclaycardCw::Before payment selection","Antes de elegir la forma de pago"
"Customweb_BarclaycardCw::Belgium (BE)","Bélgica (BE)"
"Customweb_BarclaycardCw::BillPay","BillPay"
"Customweb_BarclaycardCw::Billing Address","Billing Address"
"Customweb_BarclaycardCw::Billing Information","Billing Information"
"Customweb_BarclaycardCw::Billing address","Dirección de facturación"
"Customweb_BarclaycardCw::Billpay","Billpay"
"Customweb_BarclaycardCw::Brand","Brand"
"Customweb_BarclaycardCw::Brand Country","Marca País"
"Customweb_BarclaycardCw::Brand Name","Brand Name"
"Customweb_BarclaycardCw::Brand and card number do not match.","Tipo de la tarjeta y número de tarjeta no coinciden."
"Customweb_BarclaycardCw::Button Background Color","Button Background Color"
"Customweb_BarclaycardCw::Button Text Color","Button Text Color"
"Customweb_BarclaycardCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_BarclaycardCw::CVC Code","CVC código"
"Customweb_BarclaycardCw::Cancel","Cancel"
"Customweb_BarclaycardCw::Cancel ID","Cancel ID"
"Customweb_BarclaycardCw::Cancel pending orders when out of stock","Cancelar órdenes pendientes si el artículo ya no está en stock"
"Customweb_BarclaycardCw::Cancel status","Cancelar Estado"
"Customweb_BarclaycardCw::Canceled BarclaycardCw","Canceled BarclaycardCw"
"Customweb_BarclaycardCw::Canceling of this payment not possible!","La cancelación de este pago no es posible"
"Customweb_BarclaycardCw::Cancelled Status","Estado Cancelado"
"Customweb_BarclaycardCw::Cannot update item quantity.","No se puede actualizar la cantidad de artículo."
"Customweb_BarclaycardCw::Capture (Don't Close)","Capture (Don't Close)"
"Customweb_BarclaycardCw::Capture Amount","Capture Amount"
"Customweb_BarclaycardCw::Capture ID","Capture ID"
"Customweb_BarclaycardCw::Capture amount","Cantidad de captura"
"Customweb_BarclaycardCw::Capture information","Informaciones de la contabilización"
"Customweb_BarclaycardCw::Capture status","El estado de captura"
"Customweb_BarclaycardCw::Capture: Don't Close","Capture: Don't Close"
"Customweb_BarclaycardCw::Captured Amount","Importe reembolsado"
"Customweb_BarclaycardCw::Captured Status","Estado Capturado"
"Customweb_BarclaycardCw::Captures","Captures"
"Customweb_BarclaycardCw::Captures & Refunds","Captures & Refunds"
"Customweb_BarclaycardCw::Capturing","Captura"
