"Customweb_BarclaycardCw::* Required Fields","* Champs requis"
"Customweb_BarclaycardCw::-- No Status Change --","-- Pas de changement de statut --"
"Customweb_BarclaycardCw::3D Secure","3D Secure"
"Customweb_BarclaycardCw::3D Secure Authentication","Authentification 3D Secure"
"Customweb_BarclaycardCw::3D Secure failed","3D Secure a échoué."
"Customweb_BarclaycardCw::3D Secure sucess","3D Secure avec succès"
"Customweb_BarclaycardCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Le format doit être '!format' où le 'MM' veut indiquer le numéro du mois et 'AA' le numéro de l'année.</span>"
"Customweb_BarclaycardCw::A authorized transaction cannot be authorized again.","Une transaction autorisée ne peut pas être autorisée à nouveau."
"Customweb_BarclaycardCw::A authorized transaction cannot be marked as failed.","Une transaction autorisée ne peut pas être marquée comme échouée"
"Customweb_BarclaycardCw::A cancelled transaction cannot be authorized.","Une transaction annulée ne peut pas être autorisée."
"Customweb_BarclaycardCw::A cancelled transaction cannot be cancelled again.","Une transaction annulée ne peut pas être annulée à nouveau."
"Customweb_BarclaycardCw::A cancelled transaction cannot be captured.","Une transaction annulée ne peut pas être comptabilisée"
"Customweb_BarclaycardCw::A cancelled transaction cannot be marked as failed.","Une transaction annulée ne peut pas être marquée comme échouée."
"Customweb_BarclaycardCw::A cancelled transaction cannot be refunded.","Une autorisation annulée ne peut pas être remboursée."
"Customweb_BarclaycardCw::A captured transaction cannot be authorized.","Une transaction comptabilisée ne peut pas être autorisée."
"Customweb_BarclaycardCw::A captured transaction cannot be cancelled.","Une transaction comptabilisée ne peut pas être annulée."
"Customweb_BarclaycardCw::A captured transaction cannot be marked as failed.","Une transaction comptabilisée ne peut pas être marquée comme échouée"
"Customweb_BarclaycardCw::A failed authorization cannot be authorized.","Une transaction échouée ne peut pas être autorisée."
