"Customweb_BarclaycardCw::* Required Fields","* campo obbligatorio"
"Customweb_BarclaycardCw::-- No Status Change --","-- Nessun cambiamento di stato --"
"Customweb_BarclaycardCw::3D Secure","3D Secure"
"Customweb_BarclaycardCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_BarclaycardCw::3D Secure failed","3D Secure fallito"
"Customweb_BarclaycardCw::3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"Customweb_BarclaycardCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note""> Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno.</span>"
"Customweb_BarclaycardCw::A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"Customweb_BarclaycardCw::A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"Customweb_BarclaycardCw::A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"Customweb_BarclaycardCw::A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"Customweb_BarclaycardCw::A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"Customweb_BarclaycardCw::A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"Customweb_BarclaycardCw::A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"Customweb_BarclaycardCw::A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"Customweb_BarclaycardCw::A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"Customweb_BarclaycardCw::A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"Customweb_BarclaycardCw::A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"Customweb_BarclaycardCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"Customweb_BarclaycardCw::A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"Customweb_BarclaycardCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"Customweb_BarclaycardCw::A typical pattern of a fraud transaction is a series of refused transaction before one of them is accepted. This setting defines the threshold after any following transaction is marked as uncertain. E.g. a threshold of three will mark any successful transaction after three refused transaction as uncertain.","Un modello tipico di una transazione fraudolenta é una serie di operazioni rifiutata prima che uno di loro sia accettata. Questa impostazione definisce la soglia dopo che ogni successivo transazione é contrassegnata come incerta. Ad esempio una soglia di tre indicherà qualsiasi operazione di successo dopo tre rifiutate come transazione incerta."
"Customweb_BarclaycardCw::API Password","Password API"
"Customweb_BarclaycardCw::API Username","Nome utente API"
"Customweb_BarclaycardCw::About","A proposito di"
"Customweb_BarclaycardCw::Acceptance","Accettazione"
"Customweb_BarclaycardCw::Account Holder Name","Intestatario del conto"
"Customweb_BarclaycardCw::Account owner name.","Intestatario del conto"
"Customweb_BarclaycardCw::Action","Azione"
"Customweb_BarclaycardCw::Actions","Azioni"
"Customweb_BarclaycardCw::Activate","Activate"
"Customweb_BarclaycardCw::Active","Attivo"
"Customweb_BarclaycardCw::Add new","Aggiungi nuovo"
"Customweb_BarclaycardCw::Additional Information","Ulteriori informazioni"
"Customweb_BarclaycardCw::Adjust Qty","Regolare la quantità"
"Customweb_BarclaycardCw::Adjustment Discount","Regolazione del discount"
"Customweb_BarclaycardCw::Adjustment Fee","Costi di adeguamento"
"Customweb_BarclaycardCw::After payment selection","Dopo la scelta del pagamento"
"Customweb_BarclaycardCw::AfterPay","AfterPay"
"Customweb_BarclaycardCw::Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Customweb_BarclaycardCw::Alias","Alias"
"Customweb_BarclaycardCw::Alias For Display","Alias da visualizzare"
"Customweb_BarclaycardCw::Alias Gateway","Alias Gateway"
"Customweb_BarclaycardCw::Alias Manager","Alias Token"
"Customweb_BarclaycardCw::Alias Token","Alias Token"
"Customweb_BarclaycardCw::Alias manager","Check out con un click (Alias Manager)"
"Customweb_BarclaycardCw::All Customers","Tutti i clienti"
"Customweb_BarclaycardCw::All country codes must match.","Tutti i codici dei paesi devono corrispondere."
"Customweb_BarclaycardCw::Allowed Currencies","Valute accettate"
"Customweb_BarclaycardCw::Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
"Customweb_BarclaycardCw::Already registered?","Già iscritto?"
"Customweb_BarclaycardCw::Always Checkout as Guest","Effettua il checkout sempre come ospite"
"Customweb_BarclaycardCw::American Express","American Express"
"Customweb_BarclaycardCw::Amount","Importo"
"Customweb_BarclaycardCw::Amount Incl. Tax","Importo tasse incluse"
"Customweb_BarclaycardCw::An expiry month must be selected.","Deve essere selezionato un mese di scadenza."
"Customweb_BarclaycardCw::An expiry year must be selected.","Deve essere selezionato un anno di scadenza."
"Customweb_BarclaycardCw::Are you a German merchant?","Sei un commerciante tedesco?"
"Customweb_BarclaycardCw::Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Customweb_BarclaycardCw::Austria (AT)","Austria (AT)"
"Customweb_BarclaycardCw::Author","Autore"
"Customweb_BarclaycardCw::Authorization Amount","Importo autorizzazione"
"Customweb_BarclaycardCw::Authorization Failed","Autorizzazione non riuscita"
"Customweb_BarclaycardCw::Authorization Method","Metodo di autorizzazione"
"Customweb_BarclaycardCw::Authorization is uncertain.","Autorizzazione incerta"
"Customweb_BarclaycardCw::Authorization refused","Autorizzazione rifiutata"
"Customweb_BarclaycardCw::Authorized Status","Status autorizzato"
"Customweb_BarclaycardCw::Await Notification","Attendi la notifica"
"Customweb_BarclaycardCw::Awaiting confirmation","In attesa di conferma"
"Customweb_BarclaycardCw::BIC","BIC"
"Customweb_BarclaycardCw::Background Color","Colore dello sfondo"
"Customweb_BarclaycardCw::Bad signature format.","Bad signature format."
"Customweb_BarclaycardCw::Bank Location","Posizione della banca"
"Customweb_BarclaycardCw::Bank Name","Nome della banca"
"Customweb_BarclaycardCw::Bank account number","Numero IBAN"
"Customweb_BarclaycardCw::Bank code number","Numero del codice bancario"
"Customweb_BarclaycardCw::Before payment selection","Prima della selezione del pagamento"
"Customweb_BarclaycardCw::Belgium (BE)","Belgio (BE)"
"Customweb_BarclaycardCw::BillPay","BillPay"
"Customweb_BarclaycardCw::Billing Address","Billing Address"
"Customweb_BarclaycardCw::Billing Information","Dati di fatturazione"
"Customweb_BarclaycardCw::Billing address","indirizzo di fatturazione"
"Customweb_BarclaycardCw::Billpay","Billpay"
"Customweb_BarclaycardCw::Brand","Marca"
"Customweb_BarclaycardCw::Brand Country","Codice paese per la carta"
"Customweb_BarclaycardCw::Brand Name","Brand Name"
"Customweb_BarclaycardCw::Brand and card number do not match.","Tipo di carta e numero della carta non corrispondono."
"Customweb_BarclaycardCw::Button Background Color","Colore dello sfondo del pulsante"
"Customweb_BarclaycardCw::Button Text Color","Colore del testo del pulsante"
"Customweb_BarclaycardCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_BarclaycardCw::CVC Code","Codice CVC"
